,Company,Title,Description,Location,Salary
0,"
    Continental Technology Solutions","Data Engineer / ETL Developer, Perth","
Data Engineer / ETL Developer, 3-9 years. Supporting ad-hoc data analysis requests for new source data to be ingested into the data platform....",Perth WA,
1,"
    Altis Consulting",Junior Data Engineer,"
            Junior Data Engineer. Are interested in Big Data? Are you someone who loves data and turning information into actionable insights for end users?...",Sydney NSW,
2,"
    Altis Consulting Pty Ltd",Junior Data Engineer,"
            Junior Data Engineer. Are interested in Big Data? Are you someone who loves data and turning information into actionable insights for end users?...",Sydney NSW,
3,"
    Atlis Consulting",Junior Data Engineer,"
            Junior Data Engineer. Are interested in Big Data? Are you someone who loves data and turning information into actionable insights for end users?...",Sydney NSW,
4,"

    nbn™",Senior Data Engineer,"
            We are looking for an individual who has proven domain experience in data ingestion and big data processing design to deal with the volume, variety, value,...",Melbourne VIC,
5,"

    ThoughtWorks",Senior Data Engineer,"
            As a Data Engineer, you will develop modern data architectural approaches to meet key business objectives and provide end to end data solutions....",Melbourne VIC,
6,"
    Datalicious",Data Engineer,"
            Strong background working on large scale Data Warehousing and Data processing solutions. Our team of marketing data specialists offer a wide range of skills...",North Sydney NSW,"<span class=""no-wrap"">
                $80,000 - $130,000 a year</span>"
7,"
    Melbourne IT Group",Data Engineer,"
Data and Analytics. This is an opportunity for you to join one of Australia's leading Data and Analytics consultancies, where you will be providing technical...",Melbourne VIC,
8,"
    Servian",Data Engineer,"
Data & Analytics - BI/DW, Big Data Analytics, Data Engineering, Data Science and Advanced Analytics. You will also bring skills in Big Data technologies and...",Melbourne VIC,
9,"

    Teradata",Data Engineer,"
            Additionally the Senior Data Engineer assists Think Big Analytics establish thought leadership in the big data industry by contributing white papers, technical...",Sydney NSW,
10,"

    DigitasLBi",Data Engineer,"
Data extraction from structured/unstructured sources; The creative use of data / data sources is a must, the candidate should have not only a strong analytical...",Sydney NSW,
11,"

    AGL Energy",Data Engineer,"
            Within this team, data engineers:. Passionate about driving business value and customer insight through data by leveraging industry leading big data and cloud...",Melbourne City Centre VIC,
12,"
Data Republic",Big Data Engineer,"
            About Data Republic. That’s just open data. There are many problems to be solved around identity management, data analysis, data discovery, and platform...",Sydney NSW,
13,"

    CUA",Data Engineer,"
            As one of our Data Engineers, you will be working in a team of Data Engineers and you will provide development, business analysis, business translation to...",Brisbane QLD,
14,"
    VGW",Data Engineer,"
            We’re looking for a junior data engineer to ensure the efficient and accurate flow of data from internal and external sources for the VGW data and analytics...",Perth WA,
15,"

    IBM",Big Data Engineer - Data Analytics SME (Syd/Mel),"
            BigData Engineer - Data Analytics SME. What Does an IBM Data Engineer Opportunity Offer? Apply methods, technologies and techniques that address data...",St Leonards NSW,
16,"

    Envato",Data Engineer,"
            You’ll be providing solutions to integrate data from internal and external data sources into the central data repository as well as the processing and modelling...",Melbourne VIC,
17,"
    Opus Recruitment Solutions",JUNIOR DATA ENGINEER,"
            Ability to not only read data but interpret data sets & reports. Building integrations that pull data sets from disparate data sources and bring them together....",Sydney NSW,"<span class=""no-wrap"">
                $50,000 - $60,000 a year</span>"
18,"

    Google","Cloud Data Engineer, Cloud Professional Services","
            Experience with data warehouses, including data warehouse technical architecture, infrastructure components, ETL/ELT, reporting/analytic tools and environments,...",Melbourne VIC,
19,"

    Avanade",Hadoop Data Engineer,"
            Ideally with direct experience with Azure Data Platform, SSIS, SSRS, data warehouse, data integration, Power BI and advanced SQL Skills....",Sydney NSW,
20,"
    Melbourne IT Group",Senior Data Engineer - Cloud Data Platform,"
            Senior Data Engineer - Cloud Data Platform. Data and Analytics. This is an opportunity for you to join one of Australia's leading Data and Analytics...",Melbourne VIC,
21,"
    Infoready",Senior Data Engineer - Cloud Data Platform,"
            This is an opportunity for you to join one of Australia's leading Data and Analytics consultancies, where you will be providing technical expertise, delivery...",Melbourne VIC,
22,"

    Avanade",Data Engineer Consultant,"
            Develop and maintain data warehouse and big data platform schematics, layouts, architectures, and relational databases for data storage and data mining....",Sydney NSW,
23,"
    Delivery Centric Pty Ltd",Network data/ Network data Engineer,"
            Expertise in Data centre and network room related activities. Australia Job Posting*....",Perth WA,
24,"
    Salt Recruitment","Data Engineer Sydney, Australia","
            They are looking to add a Data Engineer to their ranks to sit within their integration & data team and work on large projects spread across a multitude of...",Sydney NSW,"<span class=""no-wrap"">
                $100,000 - $130,000 a year</span>"
25,"

    Axiom Technologies",Network Data Engineer- Perth,"
            Axiom Technologies Australia, is a Melbourne based entity with the history of providing Managed IT solutions to medium to large scale enterprises, across ANZ...",Perth WA,
26,"

    Hydrogen Group",Big Data Engineer,"
            Big Data engineer:. As a data engineer, you should be familiar with and have hands-on experience with all aspects of big data engineering from data ingestion of...",Melbourne VIC,"<span class=""no-wrap"">
                $120,000 - $140,000 a year</span>"
27,"
    FourQuarters","Big Data Engineer - Hadoop, AWS","
            Developing Hadoop integrations for data ingestion, data mapping and data processing capabilities. As a Big Data Engineer, you will be responsible for:....",Melbourne VIC,"<span class=""no-wrap"">
                $200,000 a year</span>"
28,"

    Bullhorn",Data Engineer,"
            As a Data Engineer, a typical day might include:. Analyzing foreign data sets. As a Professional Services Data Engineer, you are an instrumental piece in the...",Sydney NSW,
29,"

    Peoplebank",Big Data Engineer,"
            As a Data Engineer, you are responsible for architecting, developing, scaling and maintaining data pipelines and analytics infrastructure, covering a wide range...",Macquarie Park NSW,"<span class=""no-wrap"">
                $130,000 - $150,000 a year</span>"
30,"
    Brandscope",Data Engineer (With Javascript and API experience),"
            Experience analysing, migrating or integrating data. Analysis of existing and newly provided data. Creation of processes to enhance the existing data flows....",Gold Coast QLD,
31,"
    Alloc8 Recruitment Solutions Pty Ltd",Data Engineer - Machine Learning - Junior/Mid Level,"
            At least 3 years experience delivering Data Warehouse and Data related solutions -specifically within the Teradata Suite. Alloc8 - The Data Talent Leaders....",Sydney NSW,
32,"
    Servian",Data Consultant,"
Data & Analytics - BI/DW, Big Data Analytics, Data Engineering, Data Science and Advanced Analytics Customer Engagement - Marketing Campaigns, Campaign Analysis...",Sydney NSW,
33,"
    Canva","Senior Data Engineer (SQL-on-Hadoop, ETL Pipelines)","
            Demonstrated experience working with large volumes of data across in-house and third-party data warehousing platforms running in *nix environments....",Sydney NSW,
34,"

    Teradata",TB Prin. Data Eng (I),"
Data Eng (I)-174836. Prior work and/or research experience with unstructured data and data modeling. As a Principal Data Engineer I, you will provide technical...",Sydney NSW,
35,"
    Shoolin Consultancy",Data Engineer,"
            Basic knowledge of Hadoop/Big data. 5 years of work experience Test and development of Data Vault Test Experience and SQL Testing Experience....",Sydney NSW,
36,"
    Xpand Group",Data Engineer,"
            Strong knowledge of concepts within the data domain (Dimensional Modelling, Data Marts, Data Lakes, Data Warehouses, ETL, Reporting concepts etc)....",Melbourne VIC,
37,"
    Professional Recruitment Australia",Data Engineer - Greenfield Opportunity,"
            Golden opportunity for a data engineer to create some serious career capital with a greenfield big data role, take ownership with no red tape....",Melbourne VIC,
38,"

    Hays",Data Engineer,"
            Previous relevant experience in Data Engineer / Analyst positions. In this role you will be the Data Engineer that will help the company extract all the data...",Sydney Central Business District NSW,
39,"
    Finite",Data Engineer (IBM Integration Bus/SAP Process Orchestration...,"
            Significant experience in data exchange technologies and ETL processes using technologies such as SAP Data Services....",Adelaide SA,"<span class=""no-wrap"">
                $60 - $90 an hour</span>"
40,"

    Aurec",Data Engineer,"
            Significant experience in development of ETL processes using technologies such as SAP Data Services. APPLY NOW or Call 02 6162 9611 My clients requires multiple...",Sydney NSW,
41,"

    Davidson",Hadoop Data Engineer,"
            Strong skills and knowledge working as a Data Engineer utilising Hadoop tools. You may be starting off in your Data engineering career and have a grasp of...",Sydney NSW,
42,"
    Aurec Human Capital Group",Data Engineer,"
            Significant experience in development of ETL processes using technologies such as SAP Data Services. My clients requires multiple Data Engineers to assist with...",Sydney NSW,
43,"
    Huxley IT",Data Engineer,"
Data security & governance expertise. Strong experience in traditional data warehousing / ETL tools (Informatica, Talend, Pentaho, DataStage)....",Sydney NSW,
44,"
    Ethos BeathChapman",Data Engineer,"
            We are looking for a Data Engineer for one of our end user clients based in Sydney CBD. Worked with large, disparate data sources....",Sydney NSW,
45,"

    PRA",Data Engineer - Greenfield Opportunity,"
            Golden opportunity for a data engineer to create some serious career capital with a greenfield big data role, take ownership with no red tape....",Melbourne VIC,
46,"

    Michael Page",Data Engineer,"
            As a Data Engineer you will be responsible for the following:. Technical background working with data models, database design, data mining and segmentation...",Perth Central Business District WA,
47,"
    Talent Insights Group",Consulting Data Engineer: Big Data,"
            Cloud / big data / productionised machine learning and data science applications). This role will see you work closely with data science and machine learning...",Sydney NSW,
48,"

    Robert Walters",Big Data Engineer,"
            Enterprise Data Warehouse / Data Lake architectures. You are an experienced Big Data Engineer with exceptional communication skills....",Sydney Central Business District NSW,
49,"

    Morgan McKinley",Big Data Engineer,"
            The Data Engineer will be responsible for implementing the infrastructure to support big data projects with a focus on collecting, parsing, managing, analysing...",Sydney Central Business District NSW,
50,"

    Peoplebank",Data Engineer,"
            We are currently recruiting for a Data Engineer to work on a complex programme of work. Experience in developing Operational & Management Information reporting...",Adelaide City Centre SA,
51,"

    TomTom",GIS Engineer,"
            There is no set route to become a Spatial Data Engineer at TomTom. GIS Engineer – Australia. Experience working with Big Data....",North Ryde NSW,
52,"

    TEKsystems",Big Data Engineer,"
            A cutting-edge research organisation has engaged TEKsystems exclusively to recruit an accomplished Data Engineer for an on-going project at their facility near...",Sydney Western Suburbs NSW,
53,"

    TEKsystems",Data Engineer,"
            Experience in the use of ETL, data cleansing, data scrubbing, data discovery and analytics modelling tools....",New South Wales,
54,"
    Total Resource Solutions",Data Engineer - AWS,"
Data retrial using API's. Our client runs one of the largest loyalty datasets in Australia - they require a data engineer to assist in automating ETL driven...",Sydney NSW,"<span class=""no-wrap"">
                $500 a day</span>"
55,"
    Continental Technology Solutions","Data Engineer / ETL Developer, Perth","
Data Engineer / ETL Developer, 3-9 years. Supporting ad-hoc data analysis requests for new source data to be ingested into the data platform....",Perth WA,
