,Company,Title,Description,Location,Salary
0,"
    Black Cat Data",Data Scientist Intern,"
                            Passionate about data science, big data and AI. Data Science technology. Managing the backend systems and importing new data....",Sydney NSW,
1,"

    ignite",Data Scientist,"
                            Working closely with the Head of Data Analytics Manager and build the capability within their Data Analytics offering....",Sydney NSW,"<span class=""no-wrap"">
                $100,000 - $150,000 a year</span>"
2,"
    Department of Industry - Primary Industries",Project Officer (Grains Data Analysis),"
                            You will also have the ability to undertake complex statistical design and analysis within project timeframes while maintaining a high level of integrity for...",Wagga Wagga NSW,"<span class=""no-wrap"">
                $61,658 - $118,419 a year</span>"
3,"

    EY",Artificial Intelligence / Machine Learning engineer- Melbour...,"
            As an AI / ML engineer, you will work with our team of engineers to deliver solutions around Chatbots/ Customer Segmentation etc. You will have experience...",Melbourne VIC,
4,"
    IESTEC PTY. LTD",Internship - Engineering/Data Analysis,"
            SQL, Data Exploration tools, data modelling skills. This is an excellent opportunity to work on one of the most advanced Big Data implementations in Australia....",Notting Hill VIC,
5,"
    International Institute of Data & Analytics",Junior Data Analyst/Scientist,"
            In data science and big data analytics, the IDA creates enablers for:. Leading the field of data science and analytics innovation, training and services by...",Sydney NSW,
6,"

    Swinburne University of Technology",Research Analyst,"
            Demonstrated high-level quantitative and qualitative analytic and data management skills including advanced Excel skills, proficiency in querying databases...",Melbourne VIC,
7,"
    eWave","Principal Consultant, Artificial Intelligence and Data Scien...","
            Hiring, Mentoring and Leading a team of up and coming data scientists, data engineers and developers. A passion for data science....",Sydney NSW,"<span class=""no-wrap"">
                $150,000 - $250,000 a year</span>"
8,"

    General Assembly",Part-time Data Science Instructor,"
            Python, Machine Learning, Probability, Statistics, manipulation of large data sets, data visualization techniques. Data Science Instructor Overview....",Melbourne VIC,
9,"

    General Assembly",Part Time Data Science Instructor,"
Data visualization techniques; Data Science Instructor Overview. Manipulation of large data sets; You are eager to shape the skills, minds, and trajectories of...",Sydney NSW,
10,"

    University of New South Wales",Quantum computing software developer / FPGA programmer,"
            The software developer / FPGA programmer will utilise experience in software development and FPGA design to implement real-time data acquisition and feedback...",Kensington NSW,"<span class=""no-wrap"">
                $101,000 - $116,000 a year</span>"
11,"
    GetSwift",Data Scientist,"
Data analysis and reporting. Enhancing data collection and analytics. Performing data mining and statistical analyses....",Melbourne VIC,
12,"

    EXPERIAN",Data Scientist,"
            Successful candidates will enjoy working with large volumes of data in an innovative and fast paced environment....",Melbourne VIC,
13,"

    QBE Insurance",Senior Data Scientist,"
                            Senior Data Scientist. Leading analytical conversation with business centred on ""The art of the possible using data science"", exploring data from a modelling...",Sydney NSW,
14,"

    QBE Insurance",Data Scientist,"
                            Leading analytical conversation with business centred on ""The art of the possible using data science"", exploring data from a modelling perspective, and...",Sydney NSW,
15,"
    Black Cat Data",Data Scientist Intern,"
                            Passionate about data science, big data and AI. Data Science technology. Managing the backend systems and importing new data....",Sydney NSW,
16,"

    ignite",Data Scientist,"
                            Working closely with the Head of Data Analytics Manager and build the capability within their Data Analytics offering....",Sydney NSW,"<span class=""no-wrap"">
                $100,000 - $150,000 a year</span>"
17,"

    QBE Insurance",Senior Data Scientist,"
                            Senior Data Scientist. Leading analytical conversation with business centred on ""The art of the possible using data science"", exploring data from a modelling...",Sydney NSW,
18,"

    Equifax",Data Scientist,"
Data driven marketing solutions that maximize marketing efficiency, including market analysis, data enhancement & integration, external data supply, demographic...",Melbourne VIC,
19,"

    Munich Re",Data Scientist,"
            Identifies what data, both internally and externally, are available and relevant, as well as leveraging new data collection processes....",Sydney NSW,
20,"

    Freelancer.com",Data Scientist,"
            If this sounds like you, you will love life as a data scientist at Freelancer. We have a team of data scientists across three offices, with backgrounds in...",Sydney NSW,
21,"

    Teradata",Data Scientist,"
            As a Senior Data Scientist, you will:. Ideal Data Scientist candidates have this additional experience:. Perform data wrangling and extract exploratory insights...",Sydney NSW,
22,"

    Dimension Data",Data Scientist,"
            5 years of experience in a similar Data Scientist role. The Data Scientist is a key member of the Automation team. Diversity in Dimension Data....",Sydney NSW,
23,"
    Clinical Network Services",Statistical Programmer; Full Time,"
            As part of the Biometrics team, you develop and standardise (re-usable) program code for the purpose of undertaking data validation, and for generating tables,...",Toowong QLD,
24,"

    nbn™",Data Analytics Manager,"
            Lead a team of Data Analysts, Data Scientists and Testers, developing analytical approaches to answer business questions....",Melbourne VIC,
25,"

    Rio Tinto",Data Scientist,"
            Develop custom analytics workflows by integrating relevant data sources and developing analytic/derived data sets through feature selection to address specific...",Brisbane QLD,
26,"
    VGW",Data Scientist,"
            Join our extraordinary Australian team! Data Scientist Data & Analytics Team |...",Perth WA,
27,"

    Google","Data Scientist, Google Technical Services","
            Engage various stakeholders, assess data readiness. As a Data Scientist, you will work closely with clients and produce innovative and actionable quantitative...",Sydney NSW,
28,"

    QBE Insurance",Data Scientist,"
                            Leading analytical conversation with business centred on ""The art of the possible using data science"", exploring data from a modelling perspective, and...",Sydney NSW,
29,"

    QBE Insurance",Senior Data Scientist,"
                            Senior Data Scientist. Leading analytical conversation with business centred on ""The art of the possible using data science"", exploring data from a modelling...",Sydney NSW,
30,"

    ignite",Data Scientist,"
                            Working closely with the Head of Data Analytics Manager and build the capability within their Data Analytics offering....",Sydney NSW,"<span class=""no-wrap"">
                $100,000 - $150,000 a year</span>"
